Temperature;Humidity;Windspeed;UV;Season;Weather
-9.0;55;3.0;6;Summer;Snowy
23.0;74;11.5;2;Summer;Rainy
20.0;74;2.0;1;Winter;Cloudy
80.0;78;5.0;2;Autumn;Sunny
-4.0;90;1.0;0;Winter;Snowy
32.0;84;12.0;3;Summer;Rainy
32.0;42;5.0;11;Winter;Sunny
31.0;63;7.5;8;Summer;Sunny
2.0;99;4.5;0;Winter;Snowy
19.0;65;10.0;3;Summer;Rainy
29.0;50;7.5;9;Winter;Sunny
20.0;80;14.0;3;Summer;Rainy
37.0;66;8.0;7;Winter;Sunny
30.0;48;1.5;11;Autumn;Sunny
29.0;92;10.5;1;Autumn;Rainy
28.0;77;15.0;7;Summer;Cloudy
29.0;74;13.5;12;Winter;Sunny
-11.0;20;7.0;14;Autumn;Sunny
20.0;93;17.0;1;Spring;Rainy
20.0;48;9.0;10;Summer;Sunny
24.0;39;7.5;7;Summer;Sunny
13.0;67;5.5;3;Spring;Cloudy
12.0;82;18.0;1;Winter;Rainy
15.0;67;2.5;4;Autumn;Cloudy
43.0;63;2.0;10;Spring;Sunny
35.0;42;6.0;5;Summer;Sunny
45.0;70;3.0;11;Winter;Sunny
-4.0;34;3.0;13;Spring;Cloudy
21.0;88;19.0;0;Spring;Rainy
16.0;70;7.5;2;Autumn;Cloudy
37.0;31;9.0;11;Autumn;Sunny
22.0;78;6.5;3;Spring;Cloudy
27.0;60;11.5;9;Summer;Sunny
33.0;23;0.5;11;Autumn;Sunny
30.0;84;5.0;2;Summer;Rainy
31.0;92;11.0;1;Autumn;Rainy
15.0;65;2.0;1;Autumn;Cloudy
32.0;23;7.0;10;Autumn;Sunny
22.0;65;6.0;8;Autumn;Sunny
1.0;87;37.5;14;Winter;Snowy
28.0;66;18.5;2;Autumn;Rainy
36.0;54;3.5;6;Spring;Sunny
32.0;81;28.0;4;Autumn;Cloudy
44.0;60;10.0;9;Winter;Sunny
31.0;100;15.0;8;Summer;Sunny
25.0;79;7.0;2;Spring;Rainy
30.0;78;19.0;3;Spring;Rainy
-5.0;80;17.0;1;Winter;Snowy
28.0;20;5.5;5;Summer;Sunny
37.0;62;6.0;11;Summer;Sunny
30.0;56;2.5;7;Winter;Sunny
49.0;79;6.5;9;Autumn;Sunny
11.0;50;1.5;3;Winter;Cloudy
14.0;68;11.5;2;Winter;Cloudy
13.0;70;15.5;3;Autumn;Rainy
28.0;36;4.0;11;Spring;Sunny
-7.0;97;4.5;0;Winter;Snowy
20.0;83;6.5;2;Spring;Rainy
37.0;25;6.5;5;Winter;Sunny
1.0;49;13.0;7;Summer;Snowy
20.0;75;11.0;1;Summer;Cloudy
5.0;105;12.5;1;Winter;Snowy
43.0;21;8.5;6;Spring;Sunny
34.0;86;11.0;0;Winter;Rainy
-3.0;78;1.0;0;Spring;Snowy
-20.0;38;8.0;14;Spring;Cloudy
-6.0;82;18.0;1;Winter;Snowy
28.0;37;7.0;6;Spring;Sunny
36.0;56;0.0;10;Spring;Sunny
17.0;81;30.5;1;Spring;Rainy
23.0;82;16.0;2;Summer;Rainy
-7.0;35;10.0;12;Autumn;Snowy
24.0;39;1.5;7;Summer;Sunny
13.0;61;2.0;4;Spring;Cloudy
34.0;57;3.0;9;Summer;Sunny
50.0;99;9.0;9;Autumn;Sunny
24.0;77;14.0;2;Summer;Cloudy
30.0;90;7.5;3;Spring;Rainy
5.0;109;32.0;7;Winter;Snowy
20.0;61;10.5;1;Spring;Cloudy
77.0;82;11.0;2;Spring;Sunny
32.0;74;36.5;3;Autumn;Rainy
4.0;70;5.5;1;Winter;Snowy
11.0;61;9.5;3;Summer;Cloudy
-10.0;99;18.5;1;Winter;Snowy
-5.0;78;3.0;1;Winter;Snowy
1.0;70;5.0;1;Winter;Snowy
64.0;70;15.5;3;Autumn;Cloudy
23.0;30;9.5;10;Winter;Sunny
11.0;69;2.5;4;Summer;Cloudy
-10.0;82;16.0;0;Winter;Snowy
17.0;63;14.5;3;Autumn;Cloudy
-5.0;97;6.0;1;Winter;Snowy
16.0;77;11.0;3;Autumn;Rainy
31.0;87;16.5;2;Summer;Rainy
24.0;80;32.0;1;Autumn;Rainy
32.0;52;4.5;4;Spring;Cloudy
25.0;56;14.5;3;Spring;Cloudy
-1.0;79;4.0;13;Spring;Rainy
39.0;62;1.5;6;Winter;Sunny
18.0;88;10.0;1;Winter;Rainy
25.0;58;3.0;3;Autumn;Cloudy
24.0;84;16.5;0;Summer;Rainy
22.0;104;43.5;2;Spring;Rainy
65.0;108;24.5;10;Spring;Rainy
25.0;81;32.5;7;Spring;Cloudy
1.0;87;5.5;1;Winter;Snowy
34.0;55;3.5;2;Autumn;Cloudy
45.0;75;8.5;14;Summer;Sunny
21.0;82;7.5;3;Spring;Rainy
48.0;79;24.5;6;Spring;Sunny
30.0;34;9.5;11;Spring;Sunny
32.0;24;7.0;6;Summer;Sunny
13.0;52;8.5;1;Winter;Cloudy
2.0;91;2.5;0;Winter;Snowy
37.0;34;10.0;11;Summer;Sunny
44.0;61;8.0;9;Spring;Sunny
73.0;101;17.0;4;Winter;Sunny
18.0;65;17.0;1;Spring;Rainy
19.0;99;19.5;3;Winter;Rainy
21.0;91;8.5;1;Summer;Rainy
49.0;51;3.0;14;Winter;Rainy
25.0;82;9.0;2;Spring;Rainy
10.0;108;6.5;10;Winter;Snowy
29.0;33;4.5;8;Spring;Sunny
29.0;31;3.5;6;Spring;Sunny
29.0;22;9.5;7;Spring;Cloudy
32.0;41;6.0;8;Winter;Sunny
10.0;60;7.5;13;Spring;Sunny
27.0;91;18.0;0;Summer;Rainy
16.0;51;7.0;3;Summer;Cloudy
32.0;50;12.0;2;Summer;Cloudy
41.0;66;7.0;5;Summer;Sunny
29.0;89;17.5;1;Summer;Rainy
24.0;58;7.5;3;Spring;Cloudy
23.0;73;7.5;1;Winter;Cloudy
36.0;24;9.5;10;Winter;Sunny
36.0;23;0.5;6;Spring;Sunny
25.0;82;5.5;3;Autumn;Rainy
23.0;74;5.0;2;Autumn;Cloudy
28.0;77;16.5;6;Spring;Sunny
20.0;59;10.0;10;Summer;Sunny
3.0;88;4.0;0;Winter;Snowy
42.0;25;3.5;11;Summer;Sunny
26.0;51;9.0;9;Spring;Sunny
21.0;70;6.0;3;Winter;Cloudy
-4.0;79;6.0;0;Winter;Snowy
14.0;82;5.5;1;Winter;Rainy
20.0;79;9.5;1;Spring;Cloudy
20.0;50;9.5;1;Autumn;Cloudy
17.0;68;19.5;0;Spring;Rainy
-9.0;24;1.0;9;Spring;Snowy
2.0;85;16.5;1;Winter;Snowy
24.0;27;9.0;9;Autumn;Sunny
19.0;81;17.0;1;Summer;Rainy
13.0;67;13.0;1;Winter;Rainy
-6.0;70;3.5;1;Winter;Snowy
0.0;95;10.0;1;Winter;Snowy
41.0;53;3.5;6;Winter;Sunny
33.0;79;19.0;1;Spring;Rainy
26.0;88;7.5;1;Spring;Rainy
-1.0;76;3.5;1;Winter;Snowy
-10.0;67;8.5;1;Winter;Snowy
34.0;73;2.0;4;Spring;Cloudy
-11.0;75;3.0;1;Spring;Cloudy
24.0;71;12.0;2;Winter;Rainy
-7.0;71;3.0;1;Winter;Snowy
24.0;69;13.0;3;Spring;Rainy
29.0;105;5.0;0;Autumn;Sunny
26.0;63;6.0;1;Autumn;Rainy
15.0;84;16.5;0;Spring;Rainy
-1.0;97;18.0;1;Winter;Snowy
-3.0;68;5.0;1;Winter;Snowy
14.0;96;13.5;3;Spring;Rainy
12.0;90;18.5;0;Spring;Rainy
-10.0;76;17.0;1;Winter;Snowy
11.0;59;12.5;4;Spring;Cloudy
43.0;68;6.0;9;Spring;Sunny
-8.0;73;7.0;1;Winter;Snowy
19.0;73;3.0;0;Winter;Sunny
1.0;80;16.0;0;Winter;Snowy
35.0;36;4.0;6;Winter;Sunny
15.0;72;7.0;0;Summer;Rainy
13.0;93;18.0;1;Winter;Rainy
22.0;37;4.0;9;Summer;Sunny
22.0;21;5.0;5;Autumn;Sunny
31.0;70;0.5;3;Spring;Sunny
1.0;76;11.5;4;Autumn;Cloudy
15.0;68;11.5;3;Spring;Rainy
0.0;91;17.0;1;Winter;Snowy
48.0;55;12.0;11;Winter;Rainy
31.0;50;11.0;2;Spring;Cloudy
27.0;70;19.0;2;Winter;Rainy
28.0;59;9.5;1;Autumn;Cloudy
17.0;95;15.0;2;Autumn;Rainy
24.0;92;7.0;3;Winter;Rainy
-2.0;78;2.5;1;Winter;Snowy
20.0;60;0.5;9;Winter;Sunny
-3.0;82;19.0;1;Winter;Snowy
16.0;24;9.5;14;Spring;Rainy
35.0;31;7.5;9;Summer;Sunny
-9.0;61;11.0;0;Winter;Snowy
25.0;60;1.5;5;Autumn;Sunny
32.0;61;3.5;8;Spring;Sunny
43.0;30;4.0;11;Spring;Sunny
42.0;56;5.0;10;Summer;Sunny
-10.0;64;9.5;1;Winter;Snowy
31.0;31;3.5;11;Autumn;Sunny
-6.0;86;11.0;0;Winter;Snowy
21.0;73;4.0;4;Summer;Cloudy
27.0;24;13.0;5;Spring;Snowy
28.0;50;1.5;7;Spring;Sunny
-6.0;32;9.5;0;Winter;Sunny
57.0;85;28.0;8;Autumn;Rainy
2.0;94;9.0;1;Winter;Snowy
15.0;98;15.0;6;Spring;Cloudy
22.0;42;4.0;8;Spring;Sunny
-7.0;61;6.0;0;Winter;Snowy
32.0;56;11.0;4;Spring;Cloudy
13.0;70;16.0;0;Summer;Rainy
-19.0;43;1.5;6;Winter;Rainy
43.0;30;2.0;7;Winter;Sunny
35.0;40;9.0;11;Winter;Sunny
-3.0;94;2.0;0;Winter;Snowy
16.0;78;15.0;0;Summer;Rainy
-2.0;83;6.5;1;Winter;Snowy
40.0;104;14.0;0;Summer;Cloudy
1.0;60;10.5;0;Winter;Sunny
26.0;63;13.0;1;Summer;Cloudy
32.0;73;5.5;2;Winter;Rainy
-2.0;91;2.5;1;Winter;Snowy
23.0;66;5.0;6;Winter;Sunny
2.0;90;13.0;1;Winter;Snowy
-4.0;85;11.5;1;Winter;Snowy
36.0;33;0.5;8;Autumn;Sunny
24.0;51;6.0;1;Autumn;Snowy
-10.0;99;8.0;0;Winter;Snowy
4.0;68;17.5;1;Winter;Snowy
33.0;96;12.0;13;Autumn;Rainy
12.0;87;14.5;3;Spring;Rainy
27.0;74;0.5;3;Autumn;Cloudy
31.0;40;4.0;5;Summer;Sunny
-16.0;97;16.0;0;Winter;Snowy
2.0;60;6.5;1;Winter;Snowy
-8.0;77;16.0;1;Winter;Snowy
44.0;24;4.0;8;Autumn;Sunny
-8.0;78;1.5;0;Winter;Snowy
-4.0;84;29.5;1;Winter;Snowy
4.0;64;2.5;1;Winter;Snowy
18.0;83;17.5;3;Spring;Rainy
17.0;81;10.0;2;Winter;Rainy
19.0;74;7.5;0;Spring;Rainy
23.0;43;6.5;7;Autumn;Sunny
1.0;98;6.5;0;Winter;Snowy
50.0;78;9.0;14;Summer;Sunny
34.0;74;18.0;0;Summer;Rainy
9.0;38;8.5;10;Winter;Cloudy
21.0;60;10.5;2;Autumn;Cloudy
15.0;55;7.5;3;Autumn;Cloudy
32.0;96;13.0;4;Winter;Sunny
22.0;30;3.5;10;Autumn;Sunny
-4.0;86;10.0;0;Winter;Snowy
51.0;108;16.0;5;Winter;Rainy
16.0;98;17.0;0;Winter;Rainy
30.0;67;9.5;3;Spring;Cloudy
2.0;77;8.5;0;Winter;Snowy
2.0;98;6.5;1;Winter;Snowy
20.0;76;14.5;1;Spring;Rainy
29.0;77;12.0;3;Spring;Cloudy
10.0;80;17.0;3;Winter;Rainy
21.0;78;9.0;1;Winter;Rainy
2.0;92;6.5;0;Winter;Snowy
0.0;74;12.0;1;Winter;Snowy
32.0;66;1.5;1;Spring;Cloudy
17.0;72;2.5;3;Spring;Cloudy
-1.0;78;17.5;1;Winter;Snowy
-10.0;69;8.0;0;Winter;Snowy
-9.0;103;4.5;1;Winter;Snowy
40.0;75;26.5;0;Spring;Cloudy
19.0;97;33.5;6;Winter;Rainy
1.0;88;1.0;0;Winter;Snowy
27.0;58;11.0;1;Winter;Cloudy
75.0;80;2.5;9;Autumn;Sunny
19.0;45;2.5;10;Winter;Cloudy
13.0;67;11.0;3;Autumn;Cloudy
58.0;102;16.5;11;Winter;Sunny
22.0;65;7.5;9;Autumn;Sunny
18.0;83;12.5;0;Winter;Rainy
-6.0;109;27.5;5;Winter;Snowy
-2.0;86;10.0;1;Winter;Snowy
56.0;74;30.5;14;Autumn;Rainy
31.0;73;9.0;3;Autumn;Rainy
0.0;89;9.5;1;Winter;Snowy
37.0;31;3.0;5;Autumn;Sunny
-6.0;21;3.0;7;Spring;Cloudy
24.0;26;5.5;8;Spring;Sunny
-8.0;85;9.0;1;Winter;Snowy
18.0;50;6.0;1;Spring;Cloudy
23.0;69;11.5;2;Autumn;Cloudy
25.0;66;0.5;8;Spring;Sunny
20.0;61;18.0;1;Summer;Rainy
33.0;24;3.5;5;Autumn;Sunny
1.0;88;0.5;0;Winter;Snowy
-20.0;58;9.5;4;Summer;Rainy
2.0;80;28.0;11;Winter;Snowy
18.0;79;3.5;3;Summer;Cloudy
-5.0;78;10.0;8;Winter;Snowy
19.0;78;11.5;11;Spring;Rainy
29.0;39;9.5;11;Autumn;Sunny
26.0;99;18.0;2;Spring;Rainy
31.0;67;5.5;3;Winter;Rainy
31.0;79;0.5;3;Summer;Cloudy
41.0;69;10.0;3;Autumn;Rainy
27.0;69;4.5;7;Autumn;Sunny
22.0;86;12.0;1;Summer;Rainy
-3.0;90;2.0;1;Winter;Snowy
-17.0;65;1.5;7;Autumn;Sunny
15.0;91;6.5;0;Spring;Rainy
23.0;79;0.5;1;Spring;Cloudy
33.0;71;4.5;1;Summer;Cloudy
37.0;46;5.0;7;Autumn;Sunny
-6.0;94;17.0;1;Winter;Snowy
-9.0;88;5.0;0;Winter;Snowy
37.0;102;24.0;3;Spring;Cloudy
37.0;62;1.5;7;Autumn;Sunny
25.0;24;9.5;13;Winter;Snowy
23.0;46;0.5;7;Summer;Sunny
-9.0;94;10.5;0;Winter;Snowy
32.0;41;2.5;11;Summer;Sunny
33.0;87;16.5;1;Summer;Rainy
44.0;91;24.5;2;Winter;Rainy
30.0;56;13.5;3;Winter;Cloudy
1.0;76;20.0;0;Winter;Snowy
11.0;61;11.0;0;Summer;Rainy
13.0;109;45.0;2;Autumn;Rainy
-1.0;83;16.5;1;Winter;Snowy
26.0;98;17.0;2;Spring;Rainy
17.0;75;6.0;0;Summer;Rainy
31.0;62;6.5;1;Summer;Rainy
33.0;63;11.5;2;Autumn;Cloudy
27.0;65;6.5;1;Spring;Rainy
-9.0;96;18.0;1;Winter;Snowy
-3.0;61;11.5;0;Winter;Snowy
41.0;25;6.5;7;Summer;Sunny
12.0;59;10.5;3;Autumn;Cloudy
4.0;71;9.5;3;Spring;Snowy
13.0;85;9.5;0;Summer;Rainy
11.0;56;10.5;4;Summer;Cloudy
10.0;91;14.5;2;Winter;Rainy
-6.0;69;4.0;1;Winter;Snowy
37.0;88;11.5;5;Winter;Rainy
32.0;27;8.0;6;Winter;Sunny
17.0;77;11.5;2;Winter;Cloudy
28.0;69;7.5;3;Winter;Rainy
-1.0;65;15.5;1;Winter;Snowy
36.0;38;6.0;8;Winter;Sunny
16.0;41;10.5;1;Spring;Cloudy
22.0;88;17.0;1;Spring;Rainy
30.0;64;0.5;4;Winter;Cloudy
16.0;55;11.5;14;Winter;Snowy
7.0;76;17.5;2;Autumn;Rainy
44.0;53;3.5;11;Winter;Sunny
24.0;53;2.5;5;Summer;Sunny
21.0;86;9.5;0;Spring;Rainy
0.0;83;3.0;0;Winter;Snowy
24.0;67;8.0;12;Winter;Snowy
37.0;57;9.0;11;Winter;Sunny
25.0;59;1.5;9;Autumn;Sunny
27.0;68;9.5;4;Autumn;Cloudy
21.0;70;5.5;4;Autumn;Cloudy
2.0;62;9.0;0;Winter;Snowy
28.0;85;7.0;1;Spring;Rainy
1.0;78;6.0;1;Winter;Snowy
28.0;79;21.0;12;Spring;Rainy
22.0;63;14.5;0;Spring;Rainy
39.0;42;4.0;7;Winter;Sunny
29.0;76;7.0;3;Summer;Rainy
27.0;51;7.5;6;Winter;Sunny
4.0;88;7.0;1;Winter;Snowy
36.0;24;5.5;11;Winter;Sunny
4.0;62;2.0;0;Winter;Snowy
29.0;65;7.5;2;Spring;Rainy
19.0;71;4.5;3;Autumn;Cloudy
23.0;25;2.0;5;Spring;Sunny
19.0;75;8.5;4;Winter;Cloudy
3.0;90;10.0;0;Winter;Snowy
36.0;47;14.5;6;Autumn;Snowy
14.0;64;12.0;4;Spring;Cloudy
-10.0;77;18.0;1;Winter;Snowy
3.0;106;9.0;8;Winter;Snowy
-10.0;74;14.0;1;Winter;Snowy
-2.0;71;8.5;12;Winter;Cloudy
23.0;69;3.0;9;Summer;Sunny
22.0;51;8.0;5;Summer;Sunny
1.0;95;11.0;1;Winter;Snowy
6.0;78;5.0;9;Summer;Sunny
2.0;97;11.5;1;Winter;Snowy
-12.0;29;9.0;1;Autumn;Snowy
43.0;38;9.0;6;Spring;Sunny
49.0;58;10.5;1;Spring;Snowy
32.0;59;9.0;5;Winter;Sunny
1.0;62;5.0;1;Winter;Snowy
-4.0;83;0.5;0;Winter;Snowy
59.0;75;13.0;3;Summer;Sunny
37.0;24;0.0;1;Summer;Sunny
26.0;71;14.0;3;Autumn;Cloudy
25.0;59;0.5;1;Spring;Cloudy
33.0;85;20.0;0;Summer;Rainy
-2.0;90;4.5;1;Winter;Snowy
58.0;87;14.5;7;Winter;Rainy
24.0;28;6.0;5;Autumn;Sunny
27.0;62;8.5;1;Summer;Cloudy
22.0;78;16.5;1;Spring;Rainy
37.0;36;5.5;6;Summer;Sunny
32.0;67;0.5;5;Summer;Sunny
27.0;62;6.5;3;Winter;Rainy
47.0;46;10.5;4;Winter;Rainy
23.0;60;13.0;1;Summer;Rainy
-8.0;90;5.0;1;Winter;Snowy
58.0;102;12.5;9;Winter;Sunny
22.0;89;17.5;0;Spring;Rainy
48.0;50;0.5;11;Spring;Cloudy
34.0;73;0.5;1;Summer;Cloudy
32.0;91;12.0;2;Winter;Rainy
-1.0;71;14.5;0;Winter;Snowy
21.0;62;13.5;1;Spring;Rainy
27.0;79;4.5;1;Spring;Cloudy
-8.0;81;3.5;0;Winter;Snowy
25.0;79;12.0;0;Summer;Rainy
30.0;56;13.5;14;Summer;Rainy
33.0;70;2.5;1;Autumn;Cloudy
30.0;71;3.5;1;Winter;Cloudy
24.0;76;14.0;10;Autumn;Sunny
10.0;58;2.5;2;Winter;Cloudy
-8.0;109;7.0;5;Winter;Snowy
15.0;73;23.0;2;Spring;Rainy
41.0;31;1.5;5;Summer;Sunny
64.0;87;17.5;3;Autumn;Rainy
17.0;78;10.0;2;Winter;Rainy
-5.0;86;3.5;1;Winter;Snowy
18.0;52;12.5;2;Summer;Cloudy
50.0;72;31.5;6;Winter;Rainy
-4.0;75;14.5;1;Winter;Snowy
-2.0;91;48.5;5;Winter;Snowy
29.0;31;2.0;10;Autumn;Sunny
22.0;65;6.0;5;Spring;Sunny
-1.0;99;2.5;0;Winter;Snowy
30.0;38;0.5;11;Summer;Sunny
21.0;65;5.5;7;Spring;Sunny
39.0;42;0.0;8;Spring;Sunny
1.0;86;19.5;1;Winter;Snowy
12.0;78;29.0;6;Spring;Rainy
33.0;22;9.5;9;Summer;Sunny
-19.0;54;1.5;11;Winter;Cloudy
34.0;74;3.5;3;Summer;Cloudy
21.0;66;5.5;4;Summer;Cloudy
13.0;71;13.0;2;Autumn;Cloudy
30.0;22;4.0;9;Spring;Sunny
34.0;90;15.5;1;Spring;Rainy
4.0;75;13.0;0;Winter;Snowy
2.0;91;4.5;0;Winter;Snowy
36.0;54;5.0;7;Spring;Sunny
27.0;61;11.0;2;Winter;Cloudy
20.0;86;6.0;1;Spring;Rainy
29.0;54;10.0;1;Summer;Cloudy
36.0;76;22.5;11;Spring;Cloudy
44.0;40;4.0;9;Winter;Sunny
34.0;66;8.5;10;Spring;Snowy
-16.0;75;12.0;1;Summer;Rainy
37.0;60;3.0;1;Winter;Cloudy
2.0;33;7.5;5;Summer;Sunny
-5.0;67;5.5;0;Winter;Snowy
10.0;68;8.5;4;Autumn;Cloudy
14.0;62;11.0;2;Spring;Cloudy
-4.0;81;14.5;0;Winter;Snowy
25.0;32;8.5;12;Summer;Sunny
16.0;69;8.5;3;Winter;Cloudy
-9.0;63;6.5;0;Winter;Snowy
27.0;69;14.0;3;Spring;Cloudy
23.0;71;13.0;2;Spring;Cloudy
-4.0;80;11.5;1;Winter;Snowy
-1.0;60;1.5;0;Winter;Snowy
89.0;90;6.5;5;Spring;Sunny
1.0;60;2.5;1;Winter;Snowy
34.0;72;5.5;1;Autumn;Rainy
12.0;84;10.0;3;Autumn;Rainy
13.0;67;6.0;2;Summer;Rainy
-5.0;70;25.0;12;Winter;Snowy
0.0;91;5.0;0;Winter;Snowy
30.0;81;11.0;1;Autumn;Rainy
12.0;78;8.5;1;Summer;Rainy
45.0;109;13.5;0;Winter;Cloudy
34.0;67;1.0;1;Spring;Cloudy
12.0;79;8.0;2;Spring;Rainy
11.0;87;19.5;2;Spring;Rainy
-3.0;90;18.5;0;Winter;Snowy
10.0;76;11.0;2;Summer;Cloudy
22.0;55;3.5;4;Winter;Cloudy
34.0;60;1.0;7;Autumn;Sunny
-6.0;67;12.0;0;Winter;Snowy
1.0;96;14.5;1;Winter;Snowy
-4.0;97;11.0;0;Winter;Snowy
3.0;66;11.5;0;Winter;Snowy
24.0;46;4.0;3;Winter;Cloudy
4.0;71;19.0;0;Winter;Snowy
20.0;71;3.5;4;Summer;Cloudy
-4.0;56;6.0;1;Spring;Cloudy
-10.0;83;0.0;1;Winter;Snowy
12.0;90;19.0;3;Winter;Rainy
20.0;98;16.5;0;Spring;Rainy
77.0;99;24.0;8;Summer;Rainy
32.0;63;1.5;11;Winter;Sunny
35.0;51;3.0;9;Autumn;Sunny
-3.0;85;4.5;1;Winter;Snowy
13.0;98;9.0;1;Summer;Rainy
20.0;75;10.5;0;Spring;Rainy
-11.0;56;10.0;2;Autumn;Snowy
30.0;76;19.0;3;Summer;Rainy
23.0;74;13.0;3;Spring;Cloudy
24.0;60;6.0;2;Autumn;Rainy
-6.0;84;17.5;1;Winter;Snowy
33.0;46;4.5;9;Spring;Sunny
34.0;79;13.5;0;Summer;Rainy
18.0;51;9.0;4;Autumn;Cloudy
32.0;57;5.0;4;Spring;Cloudy
16.0;61;4.5;2;Autumn;Cloudy
-13.0;97;26.0;11;Winter;Snowy
36.0;55;1.0;10;Spring;Sunny
2.0;94;16.0;1;Winter;Snowy
39.0;69;4.5;8;Winter;Sunny
-7.0;97;11.5;1;Winter;Snowy
74.0;70;4.0;14;Summer;Sunny
26.0;99;16.5;1;Spring;Rainy
-6.0;60;16.5;1;Winter;Snowy
22.0;82;16.5;0;Spring;Rainy
36.0;68;0.5;5;Winter;Sunny
28.0;56;6.0;2;Winter;Cloudy
27.0;72;14.5;2;Summer;Cloudy
26.0;91;19.5;2;Autumn;Rainy
26.0;68;5.0;3;Autumn;Cloudy
21.0;46;9.5;5;Winter;Sunny
21.0;62;7.5;4;Winter;Cloudy
19.0;59;9.5;4;Spring;Rainy
11.0;53;6.5;4;Summer;Cloudy
24.0;62;4.0;4;Spring;Cloudy
-2.0;66;2.5;1;Winter;Snowy
2.0;72;15.0;1;Winter;Snowy
-1.0;79;8.5;0;Winter;Snowy
38.0;41;10.0;9;Winter;Sunny
38.0;64;9.5;5;Autumn;Sunny
43.0;60;7.5;10;Winter;Sunny
-4.0;51;1.5;4;Winter;Cloudy
22.0;64;2.5;5;Summer;Sunny
-20.0;31;9.5;9;Winter;Snowy
25.0;65;8.5;3;Autumn;Rainy
0.0;104;10.5;0;Winter;Snowy
6.0;83;12.5;8;Winter;Snowy
24.0;23;1.5;10;Spring;Sunny
18.0;88;18.5;2;Autumn;Rainy
42.0;67;8.5;6;Summer;Sunny
-7.0;81;11.0;1;Winter;Snowy
-3.0;96;3.5;0;Winter;Snowy
27.0;52;8.5;2;Spring;Cloudy
19.0;79;15.5;8;Spring;Cloudy
19.0;22;0.5;12;Spring;Cloudy
28.0;62;9.5;5;Autumn;Sunny
12.0;70;12.5;1;Spring;Rainy
23.0;21;0.0;6;Autumn;Sunny
15.0;68;5.0;1;Autumn;Cloudy
16.0;76;12.5;3;Spring;Rainy
23.0;96;15.5;3;Autumn;Rainy
-9.0;61;12.5;0;Winter;Snowy
10.0;96;16.5;2;Summer;Rainy
-15.0;74;6.5;6;Summer;Cloudy
18.0;94;18.5;3;Spring;Rainy
24.0;39;6.5;5;Autumn;Sunny
-2.0;97;6.0;0;Winter;Snowy
20.0;37;9.0;9;Winter;Sunny
2.0;85;18.5;0;Winter;Snowy
12.0;69;4.5;4;Autumn;Cloudy
22.0;72;17.0;7;Spring;Sunny
33.0;53;7.5;2;Spring;Cloudy
22.0;42;3.5;7;Spring;Sunny
25.0;28;8.5;11;Summer;Sunny
33.0;41;0.0;7;Winter;Sunny
-3.0;79;12.5;0;Winter;Snowy
13.0;69;11.0;3;Autumn;Rainy
68.0;83;15.5;14;Summer;Sunny
18.0;70;12.5;1;Summer;Rainy
31.0;35;4.0;8;Summer;Sunny
32.0;65;5.0;2;Autumn;Cloudy
44.0;33;4.5;8;Spring;Sunny
38.0;40;6.0;10;Winter;Sunny
18.0;68;19.0;1;Autumn;Rainy
26.0;39;9.5;7;Spring;Sunny
44.0;40;6.0;11;Autumn;Sunny
1.0;79;17.0;0;Winter;Snowy
15.0;91;19.5;1;Autumn;Rainy
-1.0;61;12.0;0;Winter;Snowy
29.0;103;9.5;2;Autumn;Rainy
27.0;95;16.0;1;Spring;Rainy
-13.0;108;6.0;12;Winter;Snowy
29.0;73;13.5;2;Autumn;Cloudy
27.0;52;8.5;1;Winter;Cloudy
28.0;70;11.0;1;Spring;Rainy
36.0;50;10.0;7;Autumn;Sunny
34.0;58;12.0;1;Winter;Cloudy
26.0;24;1.0;6;Winter;Sunny
34.0;102;27.0;7;Spring;Rainy
42.0;62;10.0;11;Summer;Sunny
49.0;72;24.5;0;Winter;Cloudy
1.0;68;20.0;0;Winter;Snowy
4.0;80;1.0;0;Winter;Snowy
23.0;31;3.5;8;Autumn;Sunny
39.0;60;3.0;8;Summer;Sunny
42.0;45;3.5;8;Spring;Sunny
31.0;90;5.5;3;Summer;Rainy
27.0;98;8.0;1;Spring;Rainy
31.0;54;1.5;6;Spring;Sunny
38.0;26;6.5;6;Winter;Sunny
15.0;54;3.5;2;Spring;Cloudy
28.0;60;16.5;2;Spring;Rainy
33.0;83;12.5;2;Spring;Rainy
23.0;78;17.5;2;Summer;Rainy
16.0;74;14.0;3;Autumn;Cloudy
-4.0;84;19.0;1;Winter;Snowy
20.0;90;17.0;3;Winter;Rainy
48.0;32;10.0;1;Spring;Rainy
31.0;59;14.5;1;Spring;Cloudy
18.0;60;5.5;2;Autumn;Cloudy
25.0;71;17.5;2;Winter;Rainy
20.0;25;0.5;9;Summer;Sunny
29.0;71;7.5;4;Winter;Cloudy
-6.0;97;7.0;0;Winter;Snowy
35.0;58;2.0;11;Spring;Sunny
15.0;74;19.0;1;Summer;Rainy
34.0;52;7.5;9;Summer;Sunny
-8.0;20;13.5;3;Winter;Cloudy
29.0;90;18.5;2;Winter;Rainy
15.0;90;20.0;3;Spring;Rainy
1.0;89;5.5;1;Winter;Snowy
19.0;79;14.0;3;Autumn;Rainy
45.0;75;20.0;4;Winter;Rainy
-7.0;98;4.0;0;Winter;Snowy
34.0;65;7.0;10;Summer;Sunny
-2.0;67;9.5;1;Winter;Snowy
36.0;59;6.0;5;Summer;Sunny
2.0;96;13.5;1;Winter;Snowy
